ID,App,Category,Description,Auth Methods,Credential Access,Free/Trial Access,API Availability,API Breadth,Doc Quality,MCP Status,Buildability,Primary Blocker,Evidence URL,Confidence,Human Verification Required
14,Front,Support and Helpdesk,Customer operations platform combining shared inboxes with ticketing and CRM connectivity.,OAuth 2.0; API Key,SELF_SERVE_WITH_PLAN_REQUIREMENT,7-day free trial or paid subscription required.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Paid plan requirement after trial,https://dev.frontapp.com/docs/authentication,0.96,False
15,Pylon,Support and Helpdesk,"B2B support platform managing customer conversations across Slack, Microsoft Teams, and email.",Bearer Token; API Key,ADMIN_APPROVAL,Paid subscription only; requires sales demo or business onboarding.,REST,MEDIUM,HIGH,NO_MCP_FOUND,MEDIUM,Admin approval / Paid plan required,https://docs.usepylon.com/reference/authentication,0.94,False
16,LiveAgent,Support and Helpdesk,Omnichannel helpdesk and live chat software for customer communication management.,API Key,SELF_SERVE,14-day free trial or free tier available.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://ladesk.com/developer/api-v3/,0.96,False
17,Plain,Support and Helpdesk,Developer-centric conversational customer support platform built for B2B SaaS teams.,API Key; Bearer Token,SELF_SERVE,Free tier available for early-stage teams with API access included.,GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://plain.com/docs/graphql/authentication,0.98,False
18,Help Scout,Support and Helpdesk,Shared inbox and customer helpdesk platform for customer support and knowledge management.,OAuth 2.0,SELF_SERVE,15-day free trial or free developer app creation in user profile.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.helpscout.com/mailbox-api/overview/authentication/,0.97,False
19,Gorgias,Support and Helpdesk,"E-commerce-focused customer service helpdesk integrated with Shopify, BigCommerce, and Magento.",Basic Authentication; API Key; OAuth 2.0,SELF_SERVE_WITH_PLAN_REQUIREMENT,7-day free trial available with API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Paid plan requirement after trial,https://developers.gorgias.com/reference/authentication,0.96,False
20,Gladly,Support and Helpdesk,"People-centered customer service platform unifying customer communication history, voice, and omnichannel messaging.",HTTP Basic Authentication (user@organization.com : API_Token),ADMIN_APPROVAL,Enterprise subscription; dedicated sandbox testing available at https://{organization}.gladly.qa.,REST,BROAD,HIGH,NO_MCP_FOUND,MEDIUM,Enterprise-only access / Admin approval,https://developer.gladly.com/rest/#section/Authentication,0.99,True
21,Slack,Communications and Messaging,"Team communication platform providing channels, direct messaging, workflow automations, and bots.",OAuth 2.0; Bot Token; User Token,SELF_SERVE,Free tier with instant developer app and bot token creation.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://api.slack.com/authentication/oauth-v2,0.99,False
22,Twilio,Communications and Messaging,"Cloud communications platform enabling SMS, voice calls, video, and verification APIs.",API Key; Basic Authentication; Bearer Token (JWT),SELF_SERVE,Free trial with test credit balance and sandbox phone numbers.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://www.twilio.com/docs/usage/api,0.99,False
23,Zoho Cliq,Communications and Messaging,Business team messaging and collaboration platform with audio/video calls and bot tools.,OAuth 2.0,SELF_SERVE,Free plan (up to 100 users) and free Zoho Developer Console.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://www.zoho.com/cliq/developer/help/rest-apis/oauth2.html,0.96,False
24,Lark (Larksuite),Communications and Messaging,"Enterprise collaboration platform combining chat, video meetings, calendar, and documents.",Bearer Token; OAuth 2.0,SELF_SERVE,Free tier (up to 50 seats) with open developer platform access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://open.larksuite.com/document/home/introduction-to-scope-and-authorization/obtain-app_access_token-or-tenant_access_token,0.97,False
25,Pumble,Communications and Messaging,"Team chat and business communication app for team messaging, channels, and file sharing.",API Key; Bearer Token; OAuth 2.0,SELF_SERVE,Free plan available with API addon support.,REST,MEDIUM,MEDIUM,NO_MCP_FOUND,HIGH,None,https://pumble.com/help/api/,0.95,False
26,Discord,Communications and Messaging,"Voice, video, and text communication service for community servers and direct messaging.",Bot Token; OAuth 2.0; Bearer Token,SELF_SERVE,Completely free Developer Portal with instant bot creation.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://discord.com/developers/docs/reference#authentication,0.99,False
27,Telegram,Communications and Messaging,"Cloud-based instant messaging platform offering fast, encrypted chat, bots, and channels.",Bot API Token; API Key (App API ID/Hash for MTProto),SELF_SERVE,Completely free bot creation and unlimited API usage.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://core.telegram.org/bots/api#authorizing-your-bot,0.99,False
28,WhatsApp Business,Communications and Messaging,"Enterprise customer messaging platform by Meta for business messaging, notifications, and customer support via Cloud API.",OAuth 2.0 (Meta App Review); Bearer Token (Permanent System User Access Token); Temporary Sandbox Access Token,SELF_SERVE_WITH_PLAN_REQUIREMENT,Free sandbox development environment with test phone numbers via Meta for Developers dashboard; production requires Meta Business Portfolio verification.,REST,BROAD,HIGH,COMMUNITY_MCP,MEDIUM,Meta Business Portfolio Verification & App Review for production live phone numbers,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,0.99,True
29,Aircall,Communications and Messaging,Cloud-based voice call center and phone system software designed for sales and support teams.,Basic Authentication; API Key; OAuth 2.0,SELF_SERVE_WITH_PLAN_REQUIREMENT,7-day free trial or paid plan required to generate API ID/Token.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Paid plan requirement after trial,https://developer.aircall.io/tutorials/authenticating-with-the-api/,0.96,False
30,Vonage,Communications and Messaging,"Communications API platform providing SMS, voice, video, verification, and conversational commerce APIs.",API Key; API Secret; JWT (JSON Web Token); OAuth 2.0,SELF_SERVE,Free developer account with 2 Euro test balance upon registration.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.vonage.com/en/getting-started/concepts/authentication,0.98,False
31,Google Ads,"Marketing, Ads, Email and Social","Online advertising platform for search, display, video, and app campaigns across Google networks with official MCP server and Agent Skills.",OAuth 2.0 (Bearer Token with scope https://www.googleapis.com/auth/adwords); Service Account Key (JSON); Developer Token (22-character developer-token Header),ADMIN_APPROVAL,Test accounts and test developer tokens are free; production access requires approved Developer Token application review.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,MEDIUM,Developer Token approval review for production access,https://github.com/googleads/google-ads-mcp,0.99,True
32,Meta Ads,"Marketing, Ads, Email and Social","Advertising platform for creating, managing, and optimizing ad campaigns on Facebook and Instagram.",OAuth 2.0; Bearer Token (System User / User Access Token),SELF_SERVE_WITH_PLAN_REQUIREMENT,Free developer app creation in Development Mode; App Review required for Standard/Advanced Access.,REST,BROAD,HIGH,COMMUNITY_MCP,MEDIUM,Meta App Review & Business Verification for production ad management,https://developers.facebook.com/docs/marketing-apis/overview/authentication,0.97,False
33,LinkedIn Ads,"Marketing, Ads, Email and Social","B2B social advertising platform for sponsored content, messaging ads, and lead gen campaigns.",OAuth 2.0 (3-legged Bearer),PARTNER_OR_SALES_GATED,Requires formal application to LinkedIn Marketing Developer Platform (MDP); sandbox test apps available upon approval.,REST,BROAD,HIGH,COMMUNITY_MCP,MEDIUM,Marketing Developer Platform (MDP) application review & Partner Program approval,https://learn.microsoft.com/en-us/linkedin/marketing/overview,0.99,True
34,GoHighLevel,"Marketing, Ads, Email and Social","All-in-one sales, marketing automation, CRM, and funnel management platform for marketing agencies.",OAuth 2.0; Bearer Token; API Key,SELF_SERVE_WITH_PLAN_REQUIREMENT,14-day free trial or paid Agency subscription required to access Developer Marketplace.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Paid agency plan requirement for marketplace app creation,https://highlevel.stoplight.io/docs/integrations/00d315668e0e7-authorization,0.96,False
35,Mailchimp,"Marketing, Ads, Email and Social","Email marketing and automation platform for newsletters, campaigns, and audience segmentation.",OAuth 2.0; API Key; Basic Authentication,SELF_SERVE,Free account tier and free Mailchimp Developer accounts available.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://mailchimp.com/developer/marketing/guides/access-the-marketing-api/#authenticate-with-an-api-key-or-oauth-2.0,0.98,False
36,Klaviyo,"Marketing, Ads, Email and Social","Marketing automation platform specializing in ecommerce email, SMS campaigns, and customer data.",API Key; OAuth 2.0,SELF_SERVE,Free account tier (up to 250 contacts) with instant API key creation.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.klaviyo.com/en/docs/authenticate_with_the_klaviyo_api,0.98,False
37,systeme.io,"Marketing, Ads, Email and Social","All-in-one marketing platform for sales funnels, email marketing, courses, and affiliate management.",API Key,SELF_SERVE,Free plan (up to 2000 contacts) with Public API and MCP server access.,REST,MEDIUM,HIGH,OFFICIAL_MCP,HIGH,None,https://developer.systeme.io/docs/mcp-server,0.98,False
38,Pinterest,"Marketing, Ads, Email and Social",Visual discovery and social curation platform offering organic content and advertising APIs.,OAuth 2.0,SELF_SERVE,Free developer account with instant Trial Access; Standard/Production access requires app review.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.pinterest.com/docs/api/v5/authentication/,0.97,False
39,Threads (Meta),"Marketing, Ads, Email and Social","Meta's text-based social conversation platform for posting text, media, and replying to threads.",OAuth 2.0; Bearer Token,SELF_SERVE,Free developer registration via Meta for Developers; development mode available for app testing.,REST,MEDIUM,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.facebook.com/docs/threads/overview,0.97,False
40,SendGrid,"Marketing, Ads, Email and Social","Cloud-based customer communication platform for transactional email delivery, marketing, and validation.",API Key; Bearer Token; Basic Authentication,SELF_SERVE,Free plan (100 emails/day forever) with full API key access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication,0.99,False
41,Shopify,Ecommerce,"Multi-channel commerce platform for online storefronts, inventory, checkout, and retail point-of-sale.",OAuth 2.0; Access Token (Admin API),SELF_SERVE,Free Shopify Partner account with unlimited development stores and API access.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://shopify.dev/docs/apps/auth/oauth,0.99,False
42,WooCommerce,Ecommerce,"Open-source, customizable e-commerce plugin built on WordPress for online merchants.",Basic Authentication; API Key (Consumer Key / Secret); OAuth 1.0a,SELF_SERVE,Completely free open-source software; self-hostable on any WordPress instance.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication,0.99,False
43,BigCommerce,Ecommerce,"SaaS ecommerce platform offering scalable catalog management, checkout, and multi-storefront APIs.",OAuth 2.0; API Token (X-Auth-Token),SELF_SERVE,15-day free trial or free BigCommerce Developer Sandbox account.,REST_AND_GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.bigcommerce.com/docs/start/authentication/api-accounts,0.98,False
44,Salesforce Commerce Cloud,Ecommerce,Enterprise ecommerce platform (B2C/B2B Commerce) for high-volume digital storefronts.,OAuth 2.0; JWT (SLAS / OCAPI token),ADMIN_APPROVAL,Enterprise license required; sandboxes require Salesforce Account Manager credentials.,REST_AND_GRAPHQL,BROAD,HIGH,NO_MCP_FOUND,MEDIUM,Enterprise contract / Salesforce Account Manager gating,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html,0.94,True
45,Magento (Adobe Commerce),Ecommerce,Open-source and enterprise ecommerce platform for customizable online merchants.,Bearer Token; OAuth 1.0a; API Key,SELF_SERVE,Completely free via Magento Open Source; Adobe Commerce Cloud is enterprise paid.,REST_AND_GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.adobe.com/commerce/webapi/get-started/authentication/,0.97,False
46,Squarespace,Ecommerce,"Website builder and ecommerce platform for online stores, appointments, and domains.",API Key; OAuth 2.0; Bearer Token,SELF_SERVE_WITH_PLAN_REQUIREMENT,14-day free trial or Commerce Advanced plan required for API key generation.,REST,MEDIUM,HIGH,COMMUNITY_MCP,HIGH,Commerce Advanced subscription required for API keys,https://developers.squarespace.com/commerce-apis/overview,0.97,False
47,Ecwid,Ecommerce,Embeddable ecommerce widget and shopping cart platform for websites and social media.,OAuth 2.0; Bearer Token; Secret Token,SELF_SERVE,Free developer account with instant API sandbox store creation.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://api-docs.ecwid.com/reference/overview,0.97,False
48,Gumroad,Ecommerce,"E-commerce platform for creators to sell digital products, memberships, and courses.",OAuth 2.0; Bearer Token (Access Token),SELF_SERVE,Free account creation with instant personal access token generation.,REST,MEDIUM,HIGH,COMMUNITY_MCP,HIGH,None,https://gumroad.com/api,0.98,False
49,Amazon Selling Partner,Ecommerce,"Comprehensive suite of REST-based APIs for Amazon sellers and vendors to manage orders, inventory, listings, fulfillment, and financial events.",Login with Amazon (LWA) OAuth 2.0 (x-amz-access-token Header); Restricted Data Token (RDT via Tokens API for PII); Client Credentials Grant (for Grantless Operations),PARTNER_OR_SALES_GATED,"Requires registered Amazon Seller Central account and approved Developer Profile application with Restricted Data Roles; static, dynamic, and local AI sandboxes available for testing.",REST,BROAD,HIGH,COMMUNITY_MCP,LOW,Developer Profile vetting & Restricted Data Role PII audit,https://developer-docs.amazon.com/sp-api/docs/connecting-to-the-selling-partner-api,0.99,True
50,fanbasis,Ecommerce,Creator monetization and checkout platform for digital products and fan experiences (now Commas).,API Key; Bearer Token,SELF_SERVE,Free account registration with API key access in creator dashboard.,LIMITED_API,NARROW,MEDIUM,NO_MCP_FOUND,MEDIUM,Limited public endpoint scope (focuses on checkout and webhooks),https://docs.fanbasis.com,0.91,True
51,DataForSEO,"Data, SEO and Scraping","Comprehensive API provider for search engine optimization, SERP data, keywords, backlinks, and merchant data.",Basic Authentication; API Key,SELF_SERVE,Free test credits ($1.00) upon registration; pay-as-you-go pricing.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://docs.dataforseo.com/v3/appendix/authentication/,0.99,False
52,SE Ranking,"Data, SEO and Scraping","All-in-one SEO platform for keyword tracking, website audits, competitor research, and backlink analysis.",API Key; Bearer Token,SELF_SERVE_WITH_PLAN_REQUIREMENT,14-day free trial; API access requires Pro or Business subscription.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,Pro / Business subscription required for API access,https://seranking.com/api.html,0.96,False
53,Ahrefs,"Data, SEO and Scraping","SEO toolset for backlink indexing, keyword discovery, content exploration, and site auditing.",API Key; Bearer Token; OAuth 2.0,SELF_SERVE_WITH_PLAN_REQUIREMENT,Paid Enterprise subscription or API Units plan required; no free developer API tier.,REST,BROAD,HIGH,COMMUNITY_MCP,MEDIUM,High-tier paid plan / API units subscription required,https://ahrefs.com/api/documentation,0.97,False
54,MrScraper,"Data, SEO and Scraping",Visual web scraper and automated data extraction platform with AI parsing capabilities.,API Key; Bearer Token,SELF_SERVE,Free tier available with free monthly scraping credits.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,None,https://docs.mrscraper.com/,0.96,False
55,Apify,"Data, SEO and Scraping","Cloud platform for web scraping, data extraction, and serverless web automation actors.",API Key; Bearer Token; Personal Access Token,SELF_SERVE,Free plan ($5 monthly usage credits) with full API and actor access.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.apify.com/api/v2#/reference/authentication,0.99,False
56,Firecrawl,"Data, SEO and Scraping","Web scraping, crawling, and extraction engine that turns websites into clean LLM-ready markdown.",API Key; Bearer Token,SELF_SERVE,Free tier (500 free credits) or completely free open-source self-hosting.,REST,MEDIUM,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.firecrawl.dev/api-reference/introduction,0.99,False
57,Bright Data,"Data, SEO and Scraping","Web data platform providing proxy networks, scraping browsers, web unlockers, and pre-built datasets.",API Key; Bearer Token; Basic Authentication (Proxy),SELF_SERVE,Free trial balance on signup; pay-as-you-go plans available.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.brightdata.com/api-reference,0.98,False
58,Sherlock,"Data, SEO and Scraping",Open-source Python CLI tool to find social media accounts by username across 400+ social platforms.,None (Open Source CLI),SELF_SERVE,Completely free open-source software on GitHub; no account or API keys required.,CLI_ONLY,NARROW,HIGH,COMMUNITY_MCP,MEDIUM,CLI only / No hosted REST API service,https://github.com/sherlock-project/sherlock,0.98,False
59,Waterfall.io,"Data, SEO and Scraping",B2B contact and company data enrichment platform providing verified prospect and firmographic intelligence.,API Key,SELF_SERVE_WITH_PLAN_REQUIREMENT,Free trial with trial credits; credit packs/subscription for ongoing lookups.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,None,https://docs.waterfall.io/,0.95,False
60,Clay,"Data, SEO and Scraping",AI-powered data enrichment and outbound prospecting platform integrating 50+ data providers.,API Key; Bearer Token; Webhooks,SELF_SERVE_WITH_PLAN_REQUIREMENT,14-day free trial (100 credits) or Starter plan required for API/webhook automation.,REST,MEDIUM,HIGH,COMMUNITY_MCP,HIGH,None,https://library.clay.com/docs/integrations/api,0.96,False
61,GitHub,"Developer, Infra and Data Platforms","Code hosting, Git version control, issue tracking, CI/CD actions, and software collaboration platform.",Personal Access Token (PAT); OAuth 2.0; Bearer Token (GitHub App JWT),SELF_SERVE,"Free account tier with full API, fine-grained PATs, and GitHub Apps support.",REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api,1.0,False
62,Vercel,"Developer, Infra and Data Platforms","Frontend cloud platform for static sites, serverless functions, and Next.js web application deployment.",Bearer Token (Personal/Team Access Token); OAuth 2.0,SELF_SERVE,Free Hobby tier with full REST API access.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://vercel.com/docs/rest-api#authentication,0.99,False
63,Netlify,"Developer, Infra and Data Platforms","Cloud hosting platform for web developers to build, deploy, and scale web applications and serverless backends.",Bearer Token (Personal Access Token); OAuth 2.0,SELF_SERVE,Free Starter tier with full API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://docs.netlify.com/api/get-started/#authentication,0.99,False
64,Cloudflare,"Developer, Infra and Data Platforms","Global cloud network providing DNS, CDN, DDoS protection, edge workers, and AI compute infrastructure.",API Token (Bearer); API Key (Global API Key); OAuth 2.0,SELF_SERVE,Free tier with unlimited API token creation and free DNS/Workers usage.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/,1.0,False
65,Supabase,"Developer, Infra and Data Platforms","Open-source Firebase alternative providing PostgreSQL database, Auth, Storage, Edge Functions, and Realtime.",API Key (Anon / Service Role Bearer); Personal Access Token (PAT),SELF_SERVE,Free tier (2 free PostgreSQL projects) or completely free open-source self-hosting.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://supabase.com/docs/guides/api,1.0,False
66,Neo4j,"Developer, Infra and Data Platforms",Graph database management system for storing and querying highly connected relational network data.,Basic Authentication (username/password); Bearer Token; API Key (Aura API),SELF_SERVE,Free Neo4j AuraDB instance in cloud or free Neo4j Desktop / Community Edition.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://neo4j.com/docs/http-api/current/,0.98,False
67,Snowflake,"Developer, Infra and Data Platforms","Cloud data platform offering data warehousing, data lake, data engineering, and machine learning infrastructure.",OAuth 2.0; Key Pair (JWT); Basic Authentication,SELF_SERVE,30-day free trial with $400 worth of compute credits.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://docs.snowflake.com/en/developer-guide/sql-api/authenticating,0.98,False
68,MongoDB Atlas,"Developer, Infra and Data Platforms","Fully-managed cloud document database service with automated scaling, search, and serverless APIs.",API Key (Digest Auth); API Key (Data API Bearer Token); Database User / Password,SELF_SERVE,Permanent free M0 sandbox cluster with full Data API and Atlas Admin API access.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://www.mongodb.com/docs/atlas/api/atlas-admin-api/,0.99,False
69,Datadog,"Developer, Infra and Data Platforms","Cloud monitoring, APM, security, and observability platform for cloud infrastructure and applications.",API Key; Application Key,SELF_SERVE,14-day free trial with full API and integration capabilities.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://docs.datadoghq.com/api/latest/authentication/,0.98,False
70,Sentry,"Developer, Infra and Data Platforms",Application performance monitoring and error tracking platform for developers to diagnose bugs.,Auth Token (Bearer); DSN Key; OAuth 2.0,SELF_SERVE,Free Developer tier with full REST API and User Auth Token generation.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.sentry.io/api/auth/,0.99,False
71,Notion,Productivity and Project Management,"Connected workspace for notes, documents, wikis, databases, and collaborative project management.",Internal Integration Secret (Bearer Token); OAuth 2.0,SELF_SERVE,Free tier with unlimited internal integrations and full REST API access.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://developers.notion.com/docs/authorization,0.99,False
72,Airtable,Productivity and Project Management,"Low-code platform for building relational database applications, collaborative tables, and workflows.",Personal Access Token (PAT); OAuth 2.0,SELF_SERVE,Free tier with full REST API and Personal Access Token support.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://airtable.com/developers/web/api/authentication,1.0,False
73,Linear,Productivity and Project Management,Modern issue tracking and product project management tool built for high-performance software teams.,Personal API Key (Bearer); OAuth 2.0,SELF_SERVE,Free plan with full GraphQL API and Personal API Key creation.,GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://developers.linear.app/docs/graphql/working-with-the-graphql-api#authentication,1.0,False
74,Jira,Productivity and Project Management,"Agile project tracking, issue management, and workflow software for software development teams.",API Token (Basic Auth); OAuth 2.0 (3LO); Atlassian Connect JWT,SELF_SERVE,Free Cloud plan (up to 10 users) with full REST API v3 access.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://developer.atlassian.com/cloud/jira/platform/basic-auth-for-rest-apis/,0.99,False
75,Asana,Productivity and Project Management,"Work and project management platform designed to help teams organize, track, and manage work.",Personal Access Token (PAT); OAuth 2.0; Bearer Token,SELF_SERVE,Free tier (up to 10 team members) with full API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.asana.com/docs/authentication,0.99,False
76,Monday.com,Productivity and Project Management,"Work operating system platform for building customizable workflow apps, boards, and project dashboards.",API Token (Personal API Token); OAuth 2.0,SELF_SERVE,Free plan (up to 2 seats) or 14-day Pro trial with full GraphQL API access.,GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.monday.com/api-reference/docs/authentication,0.98,False
77,ClickUp,Productivity and Project Management,"All-in-one productivity platform unifying tasks, docs, chat, goals, and project roadmaps.",Personal API Key (pk_); OAuth 2.0,SELF_SERVE,Free Forever plan with full REST API access and personal token creation.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://clickup.com/api/developer-portal/authentication/,0.99,False
